run_id,slurm_job_id,experiment_name,model,context,provider,llm_model,timestamp,has_trace,has_metrics,has_output_csv,problem_classes,severities,first_error_line,results_folder,log_file
87fb7b0b,47437638,dou_harmonization_codeact_deepseek-v3.2,deepseek-v3.2,codeact,openrouter,deepseek/deepseek-v3.2,02-03-2026_1807,True,False,False,1C;3A,error;info,Log: Uncaught exception in ZMQStream callback,/hpc/compgen/projects/llm_GEO_project/harmonia_metadata_agent/analysis/dstoker/harmonia/results/dou_harmonization_codeact_deepseek-v3.2_20260302_170756_87fb7b0b,/hpc/compgen/projects/llm_GEO_project/harmonia_metadata_agent/analysis/dstoker/harmonia/logs/02-03-2026_1807_dou_harmonization_codeact_deepseek-v3.2_47437638_87fb7b0b.out
754208dd,47437644,dou_harmonization_code-context_nemotron-3-nano,nemotron-3-nano,code-context,,,02-03-2026_1806,False,False,False,2F,critical,Log: Pre-loading model: nemotron-3-nano:30b...,,/hpc/compgen/projects/llm_GEO_project/harmonia_metadata_agent/analysis/dstoker/harmonia/logs/02-03-2026_1806_dou_harmonization_code-context_nemotron-3-nano_47437644_754208dd.out
8bd14bc6,47437643,dou_harmonization_bdikit-tools_nemotron-3-nano,nemotron-3-nano,bdikit-tools,,,02-03-2026_1806,False,False,False,2F,critical,Log: Pre-loading model: nemotron-3-nano:30b...,,/hpc/compgen/projects/llm_GEO_project/harmonia_metadata_agent/analysis/dstoker/harmonia/logs/02-03-2026_1806_dou_harmonization_bdikit-tools_nemotron-3-nano_47437643_8bd14bc6.out
1f8f71bf,47437632,dou_harmonization_codeact_kimi-k2.5,kimi-k2.5,codeact,openrouter,moonshotai/kimi-k2.5,02-03-2026_1807,True,True,False,1C;3A,error;info,Log: Uncaught exception in ZMQStream callback,/hpc/compgen/projects/llm_GEO_project/harmonia_metadata_agent/analysis/dstoker/harmonia/results/dou_harmonization_codeact_kimi-k2.5_20260302_170758_1f8f71bf,/hpc/compgen/projects/llm_GEO_project/harmonia_metadata_agent/analysis/dstoker/harmonia/logs/02-03-2026_1807_dou_harmonization_codeact_kimi-k2.5_47437632_1f8f71bf.out
0ba7ba21,47437630,dou_harmonization_bdikit-tools_kimi-k2.5,kimi-k2.5,bdikit-tools,openrouter,moonshotai/kimi-k2.5,02-03-2026_1807,True,True,False,1C;3A;3G;6A,error;info;warning,Log: Uncaught exception in ZMQStream callback,/hpc/compgen/projects/llm_GEO_project/harmonia_metadata_agent/analysis/dstoker/harmonia/results/dou_harmonization_bdikit-tools_kimi-k2.5_20260302_170812_0ba7ba21,/hpc/compgen/projects/llm_GEO_project/harmonia_metadata_agent/analysis/dstoker/harmonia/logs/02-03-2026_1807_dou_harmonization_bdikit-tools_kimi-k2.5_47437630_0ba7ba21.out
8f25137b,47437631,dou_harmonization_code-context_kimi-k2.5,kimi-k2.5,code-context,openrouter,moonshotai/kimi-k2.5,02-03-2026_1807,True,True,False,1C;3A;3G;6A,error;info;warning,Log: Uncaught exception in ZMQStream callback,/hpc/compgen/projects/llm_GEO_project/harmonia_metadata_agent/analysis/dstoker/harmonia/results/dou_harmonization_code-context_kimi-k2.5_20260302_170757_8f25137b,/hpc/compgen/projects/llm_GEO_project/harmonia_metadata_agent/analysis/dstoker/harmonia/logs/02-03-2026_1807_dou_harmonization_code-context_kimi-k2.5_47437631_8f25137b.out
8620ee84,47437641,dou_harmonization_codeact_claude-sonnet-4.6,claude-sonnet-4.6,codeact,openrouter,anthropic/claude-sonnet-4.6,02-03-2026_1807,True,True,False,1C;3G;4A,error;info;warning,Log: Uncaught exception in ZMQStream callback,/hpc/compgen/projects/llm_GEO_project/harmonia_metadata_agent/analysis/dstoker/harmonia/results/dou_harmonization_codeact_claude-sonnet-4.6_20260302_170746_8620ee84,/hpc/compgen/projects/llm_GEO_project/harmonia_metadata_agent/analysis/dstoker/harmonia/logs/02-03-2026_1807_dou_harmonization_codeact_claude-sonnet-4.6_47437641_8620ee84.out
8a3ca0fe,47437637,dou_harmonization_code-context_deepseek-v3.2,deepseek-v3.2,code-context,openrouter,deepseek/deepseek-v3.2,02-03-2026_1807,True,False,False,1C;3A;3G;5A;6A,error;info;warning,Log: Uncaught exception in ZMQStream callback,/hpc/compgen/projects/llm_GEO_project/harmonia_metadata_agent/analysis/dstoker/harmonia/results/dou_harmonization_code-context_deepseek-v3.2_20260302_170755_8a3ca0fe,/hpc/compgen/projects/llm_GEO_project/harmonia_metadata_agent/analysis/dstoker/harmonia/logs/02-03-2026_1807_dou_harmonization_code-context_deepseek-v3.2_47437637_8a3ca0fe.out
d6aeb450,47437645,dou_harmonization_codeact_nemotron-3-nano,nemotron-3-nano,codeact,ollama,nemotron-3-nano:30b,02-03-2026_1806,True,False,False,1C;2F;3G;5A,critical;info;warning,Log: Uncaught exception in ZMQStream callback,/hpc/compgen/projects/llm_GEO_project/harmonia_metadata_agent/analysis/dstoker/harmonia/results/dou_harmonization_codeact_nemotron-3-nano_20260302_171415_d6aeb450,/hpc/compgen/projects/llm_GEO_project/harmonia_metadata_agent/analysis/dstoker/harmonia/logs/02-03-2026_1806_dou_harmonization_codeact_nemotron-3-nano_47437645_d6aeb450.out
8dcd1884,47437636,dou_harmonization_bdikit-tools_deepseek-v3.2,deepseek-v3.2,bdikit-tools,openrouter,deepseek/deepseek-v3.2,02-03-2026_1807,True,False,False,1C;3G;5A;6A,info;warning,Log: For further information visit https://errors.pydantic.dev/2.12/v/list_typeUncaught exception in ZMQStream callback,/hpc/compgen/projects/llm_GEO_project/harmonia_metadata_agent/analysis/dstoker/harmonia/results/dou_harmonization_bdikit-tools_deepseek-v3.2_20260302_170756_8dcd1884,/hpc/compgen/projects/llm_GEO_project/harmonia_metadata_agent/analysis/dstoker/harmonia/logs/02-03-2026_1807_dou_harmonization_bdikit-tools_deepseek-v3.2_47437636_8dcd1884.out
