run_id,column_name,expected_value,predicted_value,count
495062d5,age_at_index,,75.0,1
495062d5,age_at_index,,77.0,1
495062d5,age_at_index,38.0,73.0,1
495062d5,age_at_index,42.0,74.0,1
495062d5,age_at_index,46.0,59.0,1
495062d5,age_at_index,48.0,64.0,1
495062d5,age_at_index,50.0,69.0,1
495062d5,age_at_index,50.0,86.0,1
495062d5,age_at_index,53.0,42.0,1
495062d5,age_at_index,56.0,38.0,1
495062d5,bmi,,23.88,1
495062d5,bmi,,32.69,1
495062d5,bmi,17.11,29.62,1
495062d5,bmi,17.64,38.41,1
495062d5,bmi,20.28,25.68,1
495062d5,bmi,21.45,22.86,1
495062d5,bmi,21.57,27.83,1
495062d5,bmi,22.86,47.82,1
495062d5,bmi,25.03,46.41,1
495062d5,bmi,25.37,34.72,1
495062d5,country_of_birth,,Other_specify,15
495062d5,country_of_birth,,United States,13
495062d5,country_of_birth,United States,Other_specify,9
495062d5,ethnicity,not reported,not hispanic or latino,9
495062d5,ethnicity,not reported,Not reported,8
495062d5,ethnicity,not hispanic or latino,Not reported,5
495062d5,ethnicity,not hispanic or latino,hispanic or latino,3
495062d5,ethnicity,,not hispanic or latino,2
495062d5,ethnicity,hispanic or latino,Not reported,2
495062d5,ethnicity,hispanic or latino,not hispanic or latino,2
495062d5,figo_stage,Stage IA,Stage IB,6
495062d5,figo_stage,Stage IB,Stage IA,4
495062d5,figo_stage,Stage IA,Stage II,3
495062d5,figo_stage,Stage II,Stage IA,3
495062d5,figo_stage,,Stage IA,2
495062d5,figo_stage,Stage IIIA,Stage IA,2
495062d5,figo_stage,Stage IA,Stage IIIC1,1
495062d5,figo_stage,Stage IB,Stage IIIA,1
495062d5,figo_stage,Stage IB,Stage IIIC1,1
495062d5,figo_stage,Stage IB,Stage IIIC2,1
495062d5,gender,,female,2
495062d5,primary_diagnosis,Endometrioid carcinoma,8380/3,43
495062d5,primary_diagnosis,Serous cystadenocarcinoma,8380/3,6
495062d5,primary_diagnosis,"Carcinosarcoma, NOS",8380/3,3
495062d5,primary_diagnosis,"Clear cell adenocarcinoma, NOS",8380/3,1
495062d5,race,,white,2
495062d5,race,white,black or african american,2
495062d5,race,asian,white,1
495062d5,race,not reported,white,1
495062d5,race,white,Not Reported,1
495062d5,race,white,White,1
495062d5,race,white,asian,1
495062d5,tumor_focality,Unifocal,unifocal,33
495062d5,tumor_focality,Unifocal,multifocal,11
495062d5,tumor_focality,Multifocal,unifocal,7
495062d5,tumor_focality,,multifocal,1
495062d5,tumor_focality,,unifocal,1
495062d5,tumor_grade,G1,G2,10
495062d5,tumor_grade,G2,G1,8
495062d5,tumor_grade,,G1,6
495062d5,tumor_grade,,G2,3
495062d5,tumor_grade,G1,G3,2
495062d5,tumor_grade,G3,G1,2
495062d5,tumor_grade,,G3,1
495062d5,tumor_grade,G2,G3,1
495062d5,tumor_grade,G3,G2,1
495062d5,tumor_largest_dimension_diameter,,30.0,1
495062d5,tumor_largest_dimension_diameter,,35.0,1
495062d5,tumor_largest_dimension_diameter,0.9,40.0,1
495062d5,tumor_largest_dimension_diameter,1.0,45.0,1
495062d5,tumor_largest_dimension_diameter,1.7,55.0,1
495062d5,tumor_largest_dimension_diameter,1.8,50.0,1
495062d5,tumor_largest_dimension_diameter,11.0,37.0,1
495062d5,tumor_largest_dimension_diameter,13.5,27.0,1
495062d5,tumor_largest_dimension_diameter,2.2,135.0,1
495062d5,tumor_largest_dimension_diameter,2.3,30.0,1
9a482697,country_of_birth,,Not Reported,27
9a482697,primary_diagnosis,Endometrioid carcinoma,"Endometrioid adenoma, NOS",86
9a482697,primary_diagnosis,Serous cystadenocarcinoma,"Serous carcinoma, NOS",14
9a482697,primary_diagnosis,"Clear cell adenocarcinoma, NOS",Clear cell adenoma,1
9a482697,race,white,,1
