config_file,associated_env,provider,model,token_source_var,pass_fail,notes
experiments/experiment_1_harmonia_dou2020_gdc/configs/automated/dou_harmonization_anyllm_devstral.yaml,experiments/experiment_1_harmonia_dou2020_gdc/configs/automated/dou_harmonization_anyllm_devstral_associated.env,anyllm:ollama,devstral:latest,NONE,PASS,
experiments/experiment_1_harmonia_dou2020_gdc/configs/automated/dou_harmonization_bdikit-tools_claude-sonnet-4.6.yaml,experiments/experiment_1_harmonia_dou2020_gdc/configs/automated/dou_harmonization_bdikit-tools_claude-sonnet-4.6_associated.env,openrouter,anthropic/claude-sonnet-4.6,OPENROUTER_API_KEY,PASS,
experiments/experiment_1_harmonia_dou2020_gdc/configs/automated/dou_harmonization_bdikit-tools_gemini-3-flash-preview.yaml,experiments/experiment_1_harmonia_dou2020_gdc/configs/automated/dou_harmonization_bdikit-tools_gemini-3-flash-preview_associated.env,openrouter,google/gemini-3-flash-preview,OPENROUTER_API_KEY,PASS,
experiments/experiment_1_harmonia_dou2020_gdc/configs/automated/dou_harmonization_codeact_claude-sonnet-4.6.yaml,experiments/experiment_1_harmonia_dou2020_gdc/configs/automated/dou_harmonization_codeact_claude-sonnet-4.6_associated.env,openrouter,anthropic/claude-sonnet-4.6,OPENROUTER_API_KEY,PASS,
experiments/experiment_1_harmonia_dou2020_gdc/configs/automated/dou_harmonization_codeact_gemini-3-flash-preview.yaml,experiments/experiment_1_harmonia_dou2020_gdc/configs/automated/dou_harmonization_codeact_gemini-3-flash-preview_associated.env,openrouter,google/gemini-3-flash-preview,OPENROUTER_API_KEY,PASS,
experiments/experiment_1_harmonia_dou2020_gdc/configs/automated/dou_harmonization_deepseek-v3.2.yaml,experiments/experiment_1_harmonia_dou2020_gdc/configs/automated/dou_harmonization_deepseek-v3.2_associated.env,openrouter,deepseek/deepseek-v3.2,OPENROUTER_API_KEY,PASS,
experiments/experiment_1_harmonia_dou2020_gdc/configs/automated/dou_harmonization_devstral-small.yaml,experiments/experiment_1_harmonia_dou2020_gdc/configs/automated/dou_harmonization_devstral-small_associated.env,ollama,devstral-small-2:latest,NONE,PASS,
experiments/experiment_1_harmonia_dou2020_gdc/configs/automated/dou_harmonization_devstral.yaml,experiments/experiment_1_harmonia_dou2020_gdc/configs/automated/dou_harmonization_devstral_associated.env,ollama,devstral:latest,NONE,PASS,
experiments/experiment_1_harmonia_dou2020_gdc/configs/automated/dou_harmonization_glm-4.5-air.yaml,experiments/experiment_1_harmonia_dou2020_gdc/configs/automated/dou_harmonization_glm-4.5-air_associated.env,openrouter,z-ai/glm-4.5-air:free,OPENROUTER_API_KEY,PASS,
experiments/experiment_1_harmonia_dou2020_gdc/configs/automated/dou_harmonization_glm-4.7-flash.yaml,experiments/experiment_1_harmonia_dou2020_gdc/configs/automated/dou_harmonization_glm-4.7-flash_associated.env,ollama,glm-4.7-flash:q8_0,NONE,PASS,
experiments/experiment_1_harmonia_dou2020_gdc/configs/automated/dou_harmonization_kimi-k2.5.yaml,experiments/experiment_1_harmonia_dou2020_gdc/configs/automated/dou_harmonization_kimi-k2.5_associated.env,openrouter,moonshotai/kimi-k2.5,OPENROUTER_API_KEY,PASS,
experiments/experiment_1_harmonia_dou2020_gdc/configs/automated/dou_harmonization_minimax-m2.5.yaml,experiments/experiment_1_harmonia_dou2020_gdc/configs/automated/dou_harmonization_minimax-m2.5_associated.env,openrouter,minimax/minimax-m2.5,OPENROUTER_API_KEY,PASS,
experiments/experiment_1_harmonia_dou2020_gdc/configs/automated/dou_harmonization_nemotron-3-nano.yaml,experiments/experiment_1_harmonia_dou2020_gdc/configs/automated/dou_harmonization_nemotron-3-nano_associated.env,ollama,nemotron-3-nano:30b,NONE,PASS,
experiments/experiment_1_harmonia_dou2020_gdc/configs/automated/dou_harmonization_olmo3.yaml,experiments/experiment_1_harmonia_dou2020_gdc/configs/automated/dou_harmonization_olmo3_associated.env,ollama,olmo-3:32b-think,NONE,PASS,
experiments/experiment_1_harmonia_dou2020_gdc/configs/automated/dou_harmonization_qwen3-coder.yaml,experiments/experiment_1_harmonia_dou2020_gdc/configs/automated/dou_harmonization_qwen3-coder_associated.env,ollama,qwen3-coder:30b,NONE,PASS,
experiments/experiment_1_harmonia_dou2020_gdc/configs/automated/dou_harmonization_step-3.5-flash.yaml,experiments/experiment_1_harmonia_dou2020_gdc/configs/automated/dou_harmonization_step-3.5-flash_associated.env,openrouter,stepfun/step-3.5-flash:free,OPENROUTER_API_KEY,PASS,
experiments/experiment_1_harmonia_dou2020_gdc/configs/manual/dou_harmonization_manual_anthropic-claude-sonnet-4.6.yaml,experiments/experiment_1_harmonia_dou2020_gdc/configs/manual/dou_harmonization_manual_anthropic-claude-sonnet-4.6_associated.env,anyllm:openrouter,anthropic/claude-sonnet-4.6,OPENROUTER_API_KEY,PASS,
experiments/experiment_1_harmonia_dou2020_gdc/configs/manual/dou_harmonization_manual_deepseek-v3.2.yaml,experiments/experiment_1_harmonia_dou2020_gdc/configs/manual/dou_harmonization_manual_deepseek-v3.2_associated.env,anyllm:openrouter,deepseek/deepseek-v3.2,OPENROUTER_API_KEY,PASS,
experiments/experiment_1_harmonia_dou2020_gdc/configs/manual/dou_harmonization_manual_devstral-small.yaml,experiments/experiment_1_harmonia_dou2020_gdc/configs/manual/dou_harmonization_manual_devstral-small_associated.env,anyllm:ollama,devstral-small-2:latest,NONE,PASS,
experiments/experiment_1_harmonia_dou2020_gdc/configs/manual/dou_harmonization_manual_devstral.yaml,experiments/experiment_1_harmonia_dou2020_gdc/configs/manual/dou_harmonization_manual_devstral_associated.env,anyllm:ollama,devstral:latest,NONE,PASS,
experiments/experiment_1_harmonia_dou2020_gdc/configs/manual/dou_harmonization_manual_glm-4.5-air.yaml,experiments/experiment_1_harmonia_dou2020_gdc/configs/manual/dou_harmonization_manual_glm-4.5-air_associated.env,anyllm:openrouter,z-ai/glm-4.5-air:free,OPENROUTER_API_KEY,PASS,
